id,campaignId,branchId,targetValue
a70cd701-6779-48b1-a265-afd13f4bd0a2,aa4c8169-0742-4d80-813a-d14fbb5133bd,83e85cdc-5218-4daf-90c1-488447d9659b,8928
c39c963f-ac3f-4fb9-a05a-f5929abbdfc9,aa4c8169-0742-4d80-813a-d14fbb5133bd,3ffb62ec-0ca4-45d8-8d1f-16bec4deba1c,8928
41687bc4-1ce4-4330-9694-f58dc38b98ef,aa4c8169-0742-4d80-813a-d14fbb5133bd,1b4a38b7-ef53-4564-8cc1-8fb99efac52e,8928
4929bf5a-0134-4d4c-8b67-da4afba0c2cd,aa4c8169-0742-4d80-813a-d14fbb5133bd,32b59948-f8e1-42de-b3ba-d6444e39d1ae,8928
1c347a19-11ad-4e37-a3bf-d7f51c21919f,aa4c8169-0742-4d80-813a-d14fbb5133bd,70be8b7b-36f0-4a3d-b2d7-49b0f5bff802,8928
9095409b-f8c6-4f41-8217-03f034660158,aa4c8169-0742-4d80-813a-d14fbb5133bd,3b0be51e-ccf6-443f-b3c8-395c66759abe,8928
ab795e8c-c7c7-4da9-92b3-01040c10dbcd,aa4c8169-0742-4d80-813a-d14fbb5133bd,260822a5-38de-4642-9ce2-f3d50f952d25,8928
137014af-8b41-4ff3-b79d-818b387983b9,aa4c8169-0742-4d80-813a-d14fbb5133bd,351f0472-67a5-4316-930b-f4096ffdf8c5,8928
b5a85d19-0e6b-4858-8ad9-5623381fcc43,aa4c8169-0742-4d80-813a-d14fbb5133bd,f0dab44c-e511-4ed8-9436-d4ab1abed77f,8928
e81ad343-a3ed-4249-9605-a5e1e5f927ce,aa4c8169-0742-4d80-813a-d14fbb5133bd,6a9d503c-748e-44b7-aea5-65835c51ff6b,8928
2802fded-06dd-41a4-86e8-bd82a9db709e,aa4c8169-0742-4d80-813a-d14fbb5133bd,7eeb67c1-e05a-41c5-b819-423539f158f1,8928
7dd7fabe-c237-4215-9c10-48d2360cfcde,aa4c8169-0742-4d80-813a-d14fbb5133bd,543bcf21-ebf3-4098-9474-00e580c96a0f,8928
fcdcbcbe-2b90-4103-9d69-f2b8f20b5c6c,aa4c8169-0742-4d80-813a-d14fbb5133bd,92ec1b33-2fd8-4ec3-a4a4-1860861756d1,8928
85275349-ff0b-494e-948b-a33d8628b54c,aa4c8169-0742-4d80-813a-d14fbb5133bd,f4d42a8a-34e2-4bce-a251-db58cf0295d3,8928
