id,titleEn,titleTa,contentEn,contentTa,category,priority,isPinned,branchId,targetRole,createdAt,updatedAt,requiresAck,photoId,contentHi,titleHi
ee438343-8c2d-4d81-9774-efa5e46c651b,LIC Bima Bank Achievement,,Region achieves coveted Bima Status,,GENERAL,NORMAL,true,,,2026-03-06T08:38:44.068Z,2026-03-06T08:48:37.509Z,false,d45fefea-381e-484a-b140-dcb25e84c2f2,,
108bd64d-4d7b-42a6-8152-9a4b3afc8e52,IOB Buniyaad Campaign - Target Achieved!!!,,Team IOB has qualified ongoing Buniyaad Campaign today!!!,,ACHIEVEMENT,NORMAL,true,,,2026-03-06T08:08:11.085Z,2026-03-06T08:48:50.680Z,false,67c580fd-ba7f-4c4c-9b6f-327d8ef01c57,,
