id,type,room,user,role,branchCode,text,payload,timestamp,readBy,groupId,senderId
c8fb53a0-bf8c-4a70-913f-31ff4620d13d,ro_query,branch:0332,admin,RO_MANAGER,,What will be CASA today?,"{""queryId"":""40a33162-6c3c-4360-a4e7-b67137ffaadc"",""queryText"":""What will be CASA today?"",""requestedBy"":""admin"",""paramCodes"":[],""pendingUsers"":[""PRIYADHARSHINI R"",""JEYA KUMAR S"",""ASHISH BELWAL"",""ABINAYA D B"",""SATHISH KUMAR N"",""GAJAPATHI M"",""KANAKARAJ M"",""DINESH A""]}",2026-02-25T13:56:20.952Z,,,
d9be628c-8398-4e6a-a317-9b52a6f12ed6,ro_query,management,System Administrator,ADMIN,,RO Query to 0332,"{""queryText"":""What will be CASA today?"",""requestedBy"":""RO Manager""}",2026-02-25T13:56:20.962Z,,,
